-7.41E-04	-24.48037
0.00145		-24.53507
6.98E-04	-24.47955
-2.34E-04	-24.53025
-9.29E-04	-24.49186
0.00427		-24.49326
0.01539		-24.41623
0.03129		-24.34701
0.0466		-24.28617
0.06041		-24.21448
0.07657		-24.14469
0.09245		-24.07643
0.10661		-23.99027
0.12229		-23.92543
0.1373		-23.84365
0.15166		-23.77501
0.16568		-23.70122
0.18165		-23.62649
0.19659		-23.54756
0.21039		-23.48273
0.22556		-23.39429
0.23968		-23.31593
0.25484		-23.25471
0.27038		-23.15294
0.28648		-23.09324
0.30136		-22.9871
0.31688		-22.91617
0.32971		-22.82925
0.34387		-22.72863
0.35881		-22.65712
0.37767		-22.58239
0.38834		-22.39325
0.40686		-22.39598
0.4186		-22.25387
0.43479		-22.18731
0.449		-22.08155
0.46403		-21.97122
0.47942		-21.88278
0.49224		-21.75512
0.50885		-21.64403
0.5228		-21.54569
0.53853		-21.41404
0.55376		-21.26868
0.57038		-21.19585
0.58281		-21.02404
0.59741		-20.90114
0.61275		-20.76911
0.62842		-20.61119
0.64388		-20.46774
0.65687		-20.28946
0.6713		-20.13858
0.68705		-19.96525
0.7035		-19.77593
0.71693		-19.58565
0.7328		-19.39138
0.74906		-19.18283
0.76242		-18.96172
0.7778		-18.74366
0.79317		-18.50009
0.80689		-18.25367
0.81999		-17.98935
0.83525		-17.70904
0.84995		-17.4217
0.8643		-17.09857
0.87962		-16.77068
0.89325		-16.40948
0.90658		-16.02163
0.92198		-15.59896
0.93279		-15.1245
0.94781		-14.63292
0.96349		-14.06882
0.97392		-13.43296
0.98729		-12.79482
0.9994		-12.02496
1.01336		-11.24406
1.02771		-10.37694
1.03913		-9.44967
1.05258		-8.44702
1.06435		-7.38937
1.07997		-6.25787
1.09402		-5.08887
1.10541		-3.87152
1.12109		-2.59726
1.13574		-1.33823
1.14982		-0.03713
1.1642		1.26777
1.17718		2.55098
1.19423		3.80849
1.20801		5.1113
1.22463		6.30714
1.23784		7.5854
