# x_smooth	y_smooth
-3.028557	-37.960703
-3.009586	-37.709488
-2.973779	-37.311079
-2.924948	-36.883385
-2.867840	-36.467995
-2.805953	-36.025302
-2.740257	-35.495984
-2.670293	-34.834574
-2.595243	-34.007186
-2.515364	-33.005781
-2.433290	-31.852058
-2.353261	-30.583244
-2.279417	-29.255585
-2.214123	-27.932456
-2.156721	-26.646126
-2.104302	-25.392087
-2.054158	-24.153409
-2.005326	-22.916069
-1.958256	-21.682356
-1.913986	-20.475516
-1.872760	-19.313777
-1.833242	-18.190188
-1.793889	-17.090629
-1.754097	-16.009876
-1.713856	-14.943004
-1.673379	-13.878379
-1.632659	-12.797180
-1.590651	-11.699611
-1.546244	-10.637128
-1.500276	-9.655338
-1.454353	-8.716795
-1.408193	-7.751419
-1.360490	-6.745499
-1.311526	-5.723327
-1.262652	-4.683957
-1.213774	-3.609757
-1.163673	-2.515316
-1.112613	-1.441077
-1.062228	-0.398669
-1.012900	0.647849
-0.962859	1.753411
-0.909975	2.963566
-0.853911	4.284545
-0.796740	5.662053
-0.741623	7.018334
-0.689353	8.306232
-0.636934	9.517234
-0.581775	10.676449
-0.524339	11.843054
-0.465261	13.059619
-0.404180	14.282744
-0.341003	15.428507
-0.275714	16.485333
-0.208507	17.510287
-0.139737	18.537444
-0.069032	19.552378
0.003653	20.532396
0.077167	21.466348
0.150604	22.353322
0.224287	23.204812
0.300831	24.036732
0.384921	24.871821
0.478897	25.735262
0.580816	26.622998
0.687628	27.505951
0.796081	28.363961
0.901660	29.180777
1.001520	29.929308
1.098206	30.593722
1.196999	31.188543
1.300110	31.743713
1.406029	32.285575
1.513708	32.831832
1.624609	33.391104
1.739524	33.959931
1.854845	34.522875
1.964718	35.052215
2.067210	35.512990
2.166360	35.898688
2.267760	36.256571
2.373241	36.648630
2.480144	37.087161
2.584831	37.523986
2.684759	37.888690
2.774803	38.108742
2.842540	38.114532
2.871992	37.870397
2.856316	37.406157
2.805296	36.806396
2.736805	36.158076
2.663945	35.490914
2.592039	34.766041
2.522460	33.932290
2.455911	32.990042
2.392656	31.988266
2.332222	30.967799
2.274494	29.927684
2.220339	28.856453
2.171554	27.776426
2.128822	26.730173
2.089725	25.751001
2.052244	24.853998
2.017698	24.009795
1.987294	23.149848
1.958864	22.237080
1.928896	21.294005
1.896332	20.356486
1.862487	19.427129
1.827313	18.457663
1.788379	17.385668
1.744611	16.204091
1.697930	14.972872
1.650009	13.753681
1.600833	12.557182
1.550383	11.377883
1.499056	10.243088
1.447616	9.181563
1.397881	8.178442
1.352473	7.201336
1.312667	6.238533
1.276201	5.291666
1.238476	4.359058
1.196963	3.427579
1.153261	2.468208
1.110086	1.463995
1.068193	0.447229
1.027133	-0.543295
0.986732	-1.530863
0.946077	-2.570167
0.902552	-3.685189
0.854020	-4.868320
0.800795	-6.093774
0.744868	-7.319423
0.688738	-8.504029
0.634363	-9.624692
0.581514	-10.674169
0.528406	-11.656912
0.474984	-12.583769
0.422773	-13.460248
0.371408	-14.300775
0.318348	-15.138818
0.261926	-15.991213
0.203301	-16.838015
0.145248	-17.648222
0.089072	-18.411317
0.033523	-19.147395
-0.023406	-19.882725
-0.082348	-20.624452
-0.142284	-21.362968
-0.202433	-22.080759
-0.263278	-22.762621
-0.325045	-23.413099
-0.386886	-24.053805
-0.448860	-24.694804
-0.513850	-25.330050
-0.586424	-25.961132
-0.669943	-26.595966
-0.763625	-27.228822
-0.861804	-27.843011
-0.957989	-28.428851
-1.049716	-28.997564
-1.137972	-29.570112
-1.223584	-30.139811
-1.307297	-30.679797
-1.391745	-31.191196
-1.479153	-31.688245
-1.567557	-32.160724
-1.653588	-32.599650
-1.738295	-33.030000
-1.825808	-33.487782
-1.918240	-33.976508
-2.014576	-34.475890
-2.111653	-34.973959
-2.205471	-35.458219
-2.293332	-35.905913
-2.375949	-36.305722
-2.457069	-36.672669
-2.540381	-37.027517
-2.628176	-37.368732
-2.721304	-37.677096
-2.815721	-37.932589
-2.898063	-38.117595
-2.947598	-38.216155
